Project Code,Project Title,Project Description,Faculty,Application URL,Project Mode
IP0ALC0000010,Laser-based ambient methane detection,"The Photonic Sensors Lab specializes in the development of field-deployable high-sensitivity gas detection systems that are used for air pollution monitoring, industrial emissions monitoring and greenhouse gas monitoring. This project aims to develop a compact and robust UAV-mountable tunable laser-based methane detection system. Such systems have emerged as an extremely useful method of monitoring large areas and tight spaces. Examples include monitoring methane in the oil and gas industry, nitrous oxide emissions from agricultural fields and sensing toxic fumes in coal mines or ship breaking yards. You will work with mid-infrared quantum cascade lasers, photodetectors, lock-in amplifier, Raspberry Pi / Python-based data acquisition and processing. You will be taught how to perform such laser-based sensing by a PhD student and would thereafter have to 3D print the methane sensing system and demonstrate it in the lab and outdoors. If all goes well, you will mount the system on a UAV and make air-borne measurements. The work is challenging and rewarding. Apply only if you are really enthusiastic about spending time working at an experimental table in a lab.",Arup Lal Chakraborty,Apply Here,In Person Mode
IP0ALC0000011,Development of a optical fiber tip-based plasmonic bio-sensing platform,"We are currently developing an optical fiber-based plasmonic bio-sensing platform to detect microRNA and other such biomolecules. An experimental setup is to be made with a broadband source, spectrometer and wideband optical circulator. The two ends of the circulator will be connected to the source and the spectrometer. At the third end of the circulator a bare fiber holder is to be connected in which small fiber segments with gold nanoparticle coated fiber tips can be attached and replaced. The aim of the project is to obtain the spectra of the nanoparticles coated at the fiber tip and to perform refractive index sensitivity tests by noting the plasmonic spectral shift as the tip is dipped in standard refractive index solutions. The project can be further extended to biosensing targets provided these sensitivity results are promising. The fiber segments deposited with gold nanoparticles will be provided and components for the setup areavailable. It would be helpful to make 3D printed structures after the fiber connections are made some to enhance the stability of the setup.",Arup Lal Chakraborty,Apply Here,In Person Mode
,,,,,
,,Background requirement: Some experience with optical fiber is preferable. Having basic knowledge of making 3D designs will helpful.,,,
IP0ALC0000012,Deep learning-based automatic speech recognition (ASR) model for a fiber Bragg grating (FBG)-based microphone,"Speech recognition, also called automatic speech recognition (ASR), or speech-to-text, enables a computer program to convert human speech into a written format. Integration of ASR into assistive technologies supports individuals with disabilities, such as those with speech impairments or motor disabilities, enabling them to control devices, access information, and enhance communication. The project aims to develop an ASR system based on deep learning to identify keywords (e.g., yes, no, up, down, on, off, right, left, etc.). The dataset for training the model will be provided, with keywords played through a speaker and recorded using an FBG microphone. The recordings captured by the FBG microphone will serve as the training data for the ASR model.",Arup Lal Chakraborty,Apply Here,In Person Mode
,,,,,
,,Prerequisites: Well-versed in Python. Should have prior knowledge of deep learning.,,,
IP0AM0000004,De novo creation of organic emitters via graph neural network approach,"The development of machine learning-based techniques for designing organic fluorescent materials is technologically appealing due to the issue of accurately forecasting emission properties. This project aims to introduce a graph neural network-based approach for rationally designing fluorescent molecules with pre-defined physical properties. The algorithm will employ molecular SMILES as the input, where the string information will be encoded and decoded to understand the relation between molecular network structure and subsequent physical properties. In the next stage, a generative network will be applied to the latent space with a generator to generate samples to mimic the latent space and a discriminator to distinguish models from the latent space. Finally, screening the generated samples will yield potential model compounds enriching the fluorescent library.",Anirban Mondal,Apply Here,In Person Mode
IP0AM0000005,Designing Efficient Organic Solar Cells with Machine Learning and Genetic Algorithms,"Due to the complex nature of organic material compatibility and properties, such as energy-level alignment and maximizing absorption spectra, and the vastness of chemical space, computational guidance is vital to the experimental counterpart. This project aims to develop a machine-learning model to predict device efficiency based on an existing database. In the next step, genetic algorithms (GA) will be employed to discover high-performing donors and acceptors and their combinations for potential high-efficiency solar cells. The central goal here is to develop a GA-based model for the selection of tandem cell materials successfully and find material combinations that, when in a device together, have strong absorption across the entire visible-near-IR spectrum.",Anirban Mondal,Apply Here,In Person Mode
IP0AM0000006,Machine-Learning Driven Optimization of Lennard-Jones Parameters for Materials Simulations,"Optimizing classical force field parameters, especially non-bonded interaction parameters represented by the Lennard-Jones potential, is challenging. Over the years, it has been manual approaches that have yielded these parameters. Although such parameters produce correct descriptions (within a limit of accuracy) of physical properties at a given set of state points, they suffer from transferability, and the overall parameter generation process needs a streamlined workflow. Data-driven parameterization of Lennard-Jones potential could address these challenges. This project aims to employ Gaussian Process Regression coupled with Genetic Algorithm for such an optimization problem. For details, please see the following: https://pubs.acs.org/doi/10.1021/acs.jctc.0c00285.",Anirban Mondal,Apply Here,In Person Mode
IP0AS0000005,Curation and analysis of multi-omic data on circadian rhythms,"The project will involve curating the publicly available mutiomic data of circadian rhythms from various resources. Further, the curated data will be analysed using R and Python programs.",Ashutosh Srivastava,Apply Here,In Person Mode
IP0AS0000006,Virtual screening of small molecules against the mammalian clock proteins,The project will involve using high throughput virtual screening of small molecules against the mammalian clock proteins followed by molecular dynamics simulations.,Ashutosh Srivastava,Apply Here,In Person Mode
IP0AS0100003,Alloy catalyst synthesis and characterization for hydrogen production,Metal alloys present unique catalytic properties when compared to monometallic catalysts. The first phase of the project involves the synthesis of different core-shell Cu catalysts (Cu@X) supported on mixed oxides. The second phase entails the evaluation of catalytic reactivity in a flow reactor to develop structure-function relationships.,Abinaya Sampath,Apply Here,In Person Mode
IP0BC0000001,LHC Analysis of BSM Physics,The project deals with novel search techniques for new heavy particles at the Large Hadron Collider using both conventional phenomenological techniques and those using Machine Learning Algorithms.,Baradhwaj Coleppa,Apply Here,In Person Mode
IP0BD0000006,Urine Treatment: Nitrogen and Phosphorus Harvesting & Detoxification by Removal of Bacterial and Pathogens,"This project will involve working with in-house developed biocomposites and reagents that allow enrichment of Nitrogen in human urine, followed by their adsorptive removal for the purpose of deployment as biofertilizers. Interns will be trained in material characterization (FTIR, XRD, SEM etc.) of biocomposites, and the physical chemistry of adsorption processed. The project will also involve working with inorganic and photocatalytic routes towards detoxifying the urine. Interns will be trained in development of nanoconstructs and analytical methods such as ICP-MS and antibacterial assays.",Bhaskar Datta,Apply Here,In Person Mode
IP0BD0000007,Food Analysis & Development: Protein and Micronutrient Rich Food Products,"In this project, interns will be trained on development of kits for analysis of specific processed food items. Interns will also be trained on food product development covering protein and micronutrient-rich food items.",Bhaskar Datta,Apply Here,In Person Mode
IP0BDD0000006,Cell culture based methods to screen drugs for cancer treatment,This project seeks students from medical / pharmacy background where they can learn how to use cell culture technologies for testing different drug formulations for treatment of diseases like cancer.,BHATIA DHIRAJ DEVIDAS,Apply Here,In Person Mode
IP0BM0000003,Electrochemical N-N bond formation,Various Ferrocene mediators will be tested for electrochemical N-N bond formation relevant to organic synthesis and energy conversion applications,Biswajit Mondal,Apply Here,In Person Mode
